noise_std_mgal,sample_index,scenario,clean_peak_mgal,low_frequency_energy_fraction,weak_long,sparse_station_count,effective_spacing_multiplier
0.05,0,layered,1.188889741897583,0.9972844169755007,0,39,13.447368421052632
0.05,1,near_far_combo,0.411817342042923,0.9784107873799841,0,47,11.108695652173912
0.05,2,dipping,2.2866129875183105,0.9997740490610625,0,55,9.462962962962964
0.05,3,thin_beds,0.023022178560495377,0.9701586752654082,1,41,12.775
0.05,4,faulted,0.4595033824443817,0.9841388492028322,0,39,13.447368421052632
0.05,5,faulted,1.540693998336792,0.9832218004606017,0,47,11.108695652173912
0.05,6,gradient,0.3688296377658844,0.9793274862045958,0,64,8.11111111111111
0.05,7,thin_beds,0.153349369764328,0.9819007520867986,1,66,7.861538461538461
0.05,8,near_far_combo,0.6305131912231445,0.9754958145951205,0,60,8.661016949152541
0.05,9,thin_beds,0.18075619637966156,0.9946544590683121,1,72,7.197183098591549
0.05,10,gradient,0.13669872283935547,0.9904933282625275,1,40,13.102564102564102
0.05,11,thin_beds,0.15719568729400635,0.995490248026156,1,53,9.826923076923077
0.05,12,thin_beds,0.3055436313152313,0.9944192909135093,0,57,9.125
0.05,13,faulted,0.7407199740409851,0.9797327373841271,0,50,10.428571428571429
0.05,14,gradient,0.3287493884563446,0.9742061451849554,0,52,10.019607843137255
0.05,15,faulted,1.362591028213501,0.9770308793539229,0,50,10.428571428571429
0.05,16,dipping,2.120321750640869,0.9997649327091641,0,43,12.166666666666666
0.05,17,hybrid,1.8018447160720825,0.977266061088106,0,65,7.984375
0.05,18,dipping,1.442643642425537,0.9838544477902602,0,62,8.37704918032787
0.05,19,faulted,1.098518967628479,0.9697299722391017,0,44,11.883720930232558
0.05,20,thin_beds,0.21206875145435333,0.9794094601154724,0,46,11.355555555555556
0.05,21,near_far_combo,0.7231115102767944,0.9800440412569379,0,49,10.645833333333334
0.05,22,gradient,0.5875924825668335,0.9797956050718128,0,54,9.641509433962264
0.05,23,thin_beds,0.1330121010541916,0.9843361085346838,1,42,12.463414634146341
0.05,24,hybrid,0.38079455494880676,0.9848189110776012,0,50,10.428571428571429
0.05,25,near_far_combo,0.7837669849395752,0.9711932584281527,0,66,7.861538461538461
0.05,26,dipping,1.477822184562683,0.9709745105291189,0,54,9.641509433962264
0.05,27,layered,1.138457179069519,0.982955666348998,0,61,8.516666666666667
0.05,28,hybrid,0.38532257080078125,0.9702444271260248,0,72,7.197183098591549
0.05,29,dipping,1.928000569343567,0.9838563856907638,0,71,7.3
0.05,30,near_far_combo,0.39701321721076965,0.9799619053530918,0,55,9.462962962962964
0.05,31,layered,1.741776704788208,0.9867329456274776,0,61,8.516666666666667
0.05,32,hybrid,0.7371658682823181,0.9769024060634709,0,57,9.125
0.05,33,thin_beds,0.12707041203975677,0.9832217994469478,1,42,12.463414634146341
0.05,34,dipping,1.2381476163864136,0.9711826194292054,0,51,10.22
0.05,35,hybrid,0.4606817364692688,0.9718634792986407,0,43,12.166666666666666
0.05,36,thin_beds,0.02158791571855545,0.9692952910075345,1,43,12.166666666666666
0.05,37,dipping,0.8865824937820435,0.978872571231899,0,67,7.742424242424242
0.05,38,near_far_combo,0.1442359983921051,0.9807451962088427,1,43,12.166666666666666
0.05,39,hybrid,1.1581836938858032,0.9949865868634513,0,58,8.964912280701755
0.05,40,dipping,2.02935791015625,0.9692952898704578,0,55,9.462962962962964
0.05,41,thin_beds,0.11301743239164352,0.9838991895171122,1,54,9.641509433962264
0.05,42,faulted,1.9420632123947144,0.9842041534906096,0,62,8.37704918032787
